Temperature,EAS
10.0,0.1101156350310275
11.03448275862069,0.1937650724162372
12.068965517241379,0.28077324362567335
13.10344827586207,0.366349429889248
14.137931034482758,0.44713051039698914
15.172413793103448,0.5209127085812271
16.20689655172414,0.5864076893919508
17.24137931034483,0.6430230075653025
18.275862068965516,0.6906669068852109
19.310344827586206,0.7295774704382176
20.344827586206897,0.7601761218614016
21.379310344827587,0.7829454775834843
22.413793103448278,0.7983315500591135
23.448275862068968,0.8066703019962593
24.48275862068966,0.8081385515767452
25.517241379310345,0.8027292286700105
26.551724137931036,0.7902509820399497
27.586206896551726,0.7703521375448865
28.620689655172416,0.7425690073308466
29.655172413793103,0.7063985500178249
30.689655172413794,0.6613953818791465
31.724137931034484,0.6072931390143268
32.758620689655174,0.5441501905146366
33.793103448275865,0.47251970262214393
34.827586206896555,0.3936440538818162
35.86206896551724,0.30967360128665056
36.896551724137936,0.22390979741607508
37.93103448275862,0.14107265856761253
38.96551724137932,0.06759258388144884
40.0,0.011926525458333614
