Temperature,eggs_per_female_per_cycle
10.0,4.236332076376016
10.64102564102564,5.153864098627082
11.282051282051283,6.98341770842319
11.923076923076923,9.401758659128859
12.564102564102564,12.160207801701517
13.205128205128204,15.074629279574879
13.846153846153847,18.01600177040291
14.487179487179487,20.90157277467108
15.128205128205128,23.68659595117981
15.76923076923077,26.356651499381314
16.41025641025641,28.920549588595577
17.05128205128205,31.40381683408259
17.692307692307693,33.842765819982674
18.333333333333336,36.27914766913295
18.974358974358974,38.7553876597234
19.615384615384617,41.31040388885492
20.256410256410255,43.97600898292683
20.897435897435898,46.77389485491892
21.53846153846154,49.7132005085233
22.179487179487182,52.78866288915401
22.82051282051282,55.97935078179546
23.461538461538463,59.24798175576416
24.102564102564102,62.540822156281706
24.743589743589745,65.78817014295805
25.384615384615387,68.9054217751218
26.025641025641026,71.7947201439963
26.666666666666668,74.34718755179597
27.30769230769231,76.44574073763874
27.94871794871795,77.96848915031978
28.58974358974359,78.79271626800994
29.230769230769234,78.79944396476424
29.871794871794872,77.87857992390104
30.512820512820515,75.93464809828538
31.153846153846157,72.89310221745018
31.794871794871796,68.70722234153061
32.43589743589744,63.36559446221861
33.07692307692308,56.90017315039347
33.717948717948715,49.39492725075786
34.358974358974365,40.99506862329713
35.0,31.916863931549642
