Temperature,MDR
10.0,0.004484058132371127
10.76923076923077,0.005892105032541117
11.538461538461538,0.00866787427665816
12.307692307692308,0.012427203427021083
13.076923076923077,0.016862607011245423
13.846153846153847,0.02173396498279212
14.615384615384617,0.026859675277665973
15.384615384615385,0.03210827046729525
16.153846153846153,0.03739049850758619
16.923076923076923,0.04265186758414835
17.692307692307693,0.04786565505370921
18.46153846153846,0.05302638048168706
19.230769230769234,0.05814374277595724
20.0,0.06323702141678073
20.76923076923077,0.06832994178292362
21.53846153846154,0.0734460045739328
22.307692307692307,0.07860427932860736
23.07692307692308,0.0838156620396377
23.846153846153847,0.0890795968644133
24.615384615384617,0.09438126193202873
25.384615384615387,0.09968921924643692
26.153846153846153,0.10495352868579544
26.923076923076923,0.11010432609800636
27.692307692307693,0.11505086549237659
28.461538461538463,0.11968102532752961
29.230769230769234,0.12386127889542481
30.0,0.12743712880159297
30.76923076923077,0.1302340055415394
31.53846153846154,0.13205863017331876
32.30769230769231,0.1327008410863018
33.07692307692308,0.13193588486606428
33.84615384615385,0.12952717125555435
34.61538461538461,0.12522949221229945
35.38461538461539,0.118792705061953
36.15384615384616,0.10996587974784594
36.92307692307692,0.09850191017685578
37.69230769230769,0.08416258966133822
38.46153846153847,0.06672415045736302
39.23076923076923,0.045983267398982786
40.0,0.021763525628799296
